ID,Code DTC,Description du problème,Root Cause Description,Composant concerné,PCA attendue,Statut GIM
246,P1300,Engine knocking sound,"Thermostat stuck open, engine running cold",MG1,Replace catalytic converter,En traitement
247,P0420,Fuel gauge inaccurate,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Transmission,Replace wheel bearing,En traitement
248,P0720,Brake system warning light,Motor for power window faulty,Engine,Replace heated seat element,Résolu
249,P0455,Steering wheel vibration at high speed,Alignment issues,Tires,Adjust tire pressure,En traitement
250,P0910,Door ajar warning light on constantly,Faulty horn relay,Driver Assistance Systems,Replace oxygen sensor and clear fault codes,Non résolu
251,P0133,"Vehicle not ready, hybrid system warning",Battery internal resistance too high causing voltage imbalance,Tires,Replace connecting rod bearings,En traitement
252,P0720,Door ajar warning light on constantly,Improper tire inflation,Lighting System,Clean blind spot sensor,Non résolu
253,P0455,Loud clicking noise during hybrid mode switch,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Cooling System,Adjust tire pressure,En traitement
254,P0860,"Check engine light on, no noticeable symptoms",Connecting rod bearing wear,Sunroof System,Replace wheel bearing,Non résolu
255,P0172,Vehicle pulls to one side,Faulty inverter cooling pump causing insufficient coolant circulation,Trunk System,Replace oxygen sensor and clear fault codes,En traitement
256,P0715,Unusual tire wear,Clogged fuel injector and worn spark plugs,Lighting System,Replace sunroof motor,Non résolu
257,P0760,Headlights flickering,Faulty inverter cooling pump causing insufficient coolant circulation,Hybrid Battery,Replace horn relay,En traitement
258,P1600,"Check engine light on, no noticeable symptoms","Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Safety Systems,Replace power window motor,Non résolu
259,P0770,Brake system warning light,Connecting rod bearing wear,AC System,Adjust tire pressure,En traitement
260,P0455,Adaptive cruise control unavailable,Heater element failure in seat,Inverter,Clean rearview camera lens,Résolu
261,P0601,Door ajar warning light on constantly,Clogged fuel injector and worn spark plugs,Horn System,Replace ignition coil in cylinder 1,Non résolu
262,P0172,Navigation system not working,Ignition coil failure in cylinder 1,MG2,Perform wheel alignment,Non résolu
263,P1500,Brake system warning light,Battery internal resistance too high causing voltage imbalance,Driver Assistance Systems,Replace spark plugs and clean fuel injectors,Non résolu
264,P0820,Loud clicking noise during hybrid mode switch,Rearview camera lens dirty,Navigation System,Replace door latch sensor,Non résolu
265,P0325,Lane departure warning system fault,Door latch sensor faulty,Horn System,Replace door latch sensor,En traitement
266,P0455,Navigation system not working,GPS antenna faulty,Engine,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
267,P1000,Horn not functioning,Sunroof motor failure,Hybrid Battery,Perform wheel alignment,Non résolu
268,P0440,Hybrid system malfunction,Catalytic converter efficiency below threshold,Hybrid Battery,Replace door latch sensor,Non résolu
269,P0401,Excessive exhaust smoke,Blown fuse in wiper circuit,Electrical System,Replace wiper fuse,Résolu
270,P0420,Engine knocking sound,Ignition coil failure in cylinder 1,Camera Systems,Clean parking sensor,Résolu
271,P0301,Engine knocking sound,"Thermostat stuck open, engine running cold",MG2,Replace wiper fuse,En traitement
272,P0980,Horn not functioning,Actuator for trunk release faulty,Electrical System,Replace thermostat,Résolu
273,P0715,Battery overheats after 20 min of driving,Ignition coil failure in cylinder 1,Safety Systems,Replace heated seat element,En traitement
274,P0A93,Excessive exhaust smoke,Connecting rod bearing wear,Suspension,Replace heated seat element,En traitement
275,P1300,Blind spot monitor warning,Clogged fuel injector and worn spark plugs,Trunk System,Clean parking sensor,Résolu
276,P0890,Lane departure warning system fault,Blown fuse in wiper circuit,Brakes,Perform wheel alignment,Non résolu
277,P0820,Engine knocking sound,Ignition coil failure in cylinder 1,Camera Systems,Clean radar sensor,Résolu
278,P1803-00,Blind spot monitor warning,Refrigerant leak in AC system,Horn System,Replace oxygen sensor and clear fault codes,Non résolu
279,P0910,Heated seats not working,Sunroof motor failure,Navigation System,Recalibrate lane keeping assist camera,En traitement
280,P0940,"Check engine light on, no noticeable symptoms",Loose battery terminal connection,Horn System,Replace clutch friction element and recalibrate transmission,Résolu
281,P0560,Excessive exhaust smoke,Wheel bearing worn out,AC System,Clean blind spot sensor,Résolu
282,P0980,"Engine misfire, rough idle",Alignment issues,Navigation System,Replace heated seat element,En traitement
283,P0740,Battery overheats after 20 min of driving,Alignment issues,Trunk System,Adjust tire pressure,En traitement
284,P0301,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Door latch sensor faulty,Cooling System,Clean radar sensor,Résolu
285,P0601,Parking assist system error,Door latch sensor faulty,ECU,Adjust tire pressure,Résolu
286,P0730,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Connecting rod bearing wear,Cooling System,Replace inverter cooling pump and refill coolant,Non résolu
287,P0601,Unusual tire wear,Battery internal resistance too high causing voltage imbalance,Electrical System,Clean radar sensor,En traitement
288,P0910,Wipers not working,Clogged fuel injector and worn spark plugs,MG1,Replace inverter cooling pump and refill coolant,Non résolu
289,P0650,Navigation system not working,Refrigerant leak in AC system,MG2,Replace turbocharger,En traitement
290,P0325,Power windows not responding,Battery internal resistance too high causing voltage imbalance,Lighting System,Replace wiper fuse,Non résolu
291,P0980,Door ajar warning light on constantly,Parking sensor dirty,Steering,Clean parking sensor,Résolu
292,P0455,Loud clicking noise during hybrid mode switch,Blind spot sensor obstructed,Electrical System,Clean radar sensor,Non résolu
293,P1600,"Engine misfire, rough idle",Communication loss between ECU and hybrid battery module,Electrical System,Perform wheel alignment,Résolu
294,P0900,Horn not functioning,Radar sensor blocked,Navigation System,Replace wiper fuse,En traitement
295,P0455,Wipers not working,Improper tire inflation,Engine,"Locate and repair refrigerant leak, then recharge AC system",En traitement
296,P1600,Unusual tire wear,"Thermostat stuck open, engine running cold",Driver Assistance Systems,Replace power window motor,En traitement
297,P0750,Heated seats not working,Parking sensor dirty,Suspension,Replace clutch friction element and recalibrate transmission,Non résolu
298,P0440,Steering wheel vibration at high speed,Faulty inverter cooling pump causing insufficient coolant circulation,Electrical System,Replace door latch sensor,En traitement
299,P0620,Trunk not opening,"Thermostat stuck open, engine running cold",Steering,Clean radar sensor,Non résolu
300,P0122,Engine knocking sound,"Thermostat stuck open, engine running cold",Transmission,"Locate and repair refrigerant leak, then recharge AC system",Résolu
301,P0960,Wipers not working,Rearview camera lens dirty,ECU,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
302,P0401,Wipers not working,Motor for power window faulty,Driver Assistance Systems,Replace thermostat,Résolu
303,P0770,Reduced power and acceleration,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Inverter,Recalibrate lane keeping assist camera,En traitement
304,P0122,"Check engine light on, no noticeable symptoms",Parking sensor dirty,Engine,Replace ignition coil in cylinder 1,Non résolu
305,P0780,AC not blowing cold air,Radar sensor blocked,Steering,Replace connecting rod bearings,Résolu
306,P07A3,Reduced power and acceleration,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Tires,Replace turbocharger,Résolu
307,P0910,Power windows not responding,Parking sensor dirty,MG1,Replace thermostat,Résolu
308,P0930,Reduced power and acceleration,Blind spot sensor obstructed,Lighting System,Replace door latch sensor,Résolu
309,P0A80,Lane departure warning system fault,Blind spot sensor obstructed,ECU,Replace clutch friction element and recalibrate transmission,Non résolu
310,P0770,Lane departure warning system fault,Sunroof motor failure,Camera Systems,Replace ignition coil in cylinder 1,Non résolu
311,P0980,"Check engine light on, no noticeable symptoms",Radar sensor blocked,Transmission,Clean parking sensor,En traitement
312,P0601,"Engine misfire, rough idle",Heater element failure in seat,Interior Electronics,Replace horn relay,Résolu
313,P03AF,Excessive exhaust smoke,Door latch sensor faulty,Transmission,Replace faulty battery modules and rebalance the hybrid battery pack,En traitement
314,P03AF,Lane departure warning system fault,Transmission clutch friction element stuck causing shifting issues,Horn System,Clean radar sensor,En traitement
315,P0760,Engine knocking sound,Lane keeping assist camera misaligned,Lighting System,Replace GPS antenna,Résolu
316,P0201,Parking assist system error,Sunroof motor failure,Cooling System,Clean rearview camera lens,Résolu
317,P0820,Door ajar warning light on constantly,Lane keeping assist camera misaligned,Navigation System,Replace connecting rod bearings,Résolu
318,P0760,Power windows not responding,Blown fuse in wiper circuit,Trunk System,Perform wheel alignment,Non résolu
319,P0910,Fuel gauge inaccurate,Ignition coil failure in cylinder 1,Steering,Clean rearview camera lens,Résolu
320,P0440,Heated seats not working,Catalytic converter efficiency below threshold,Tires,Replace faulty battery modules and rebalance the hybrid battery pack,En traitement
321,P1200,Rearview camera blurry,Connecting rod bearing wear,Cooling System,Replace sunroof motor,En traitement
322,P0860,Engine knocking sound,Door latch sensor faulty,Electrical System,Replace GPS antenna,Résolu
323,P0970,Loud clicking noise during hybrid mode switch,Blind spot sensor obstructed,Trunk System,Replace clutch friction element and recalibrate transmission,Résolu
324,P0900,Horn not functioning,Battery internal resistance too high causing voltage imbalance,Steering,Replace heated seat element,Non résolu
325,P0730,Blind spot monitor warning,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Steering,Replace inverter cooling pump and refill coolant,Non résolu
326,P1200,Headlights flickering,GPS antenna faulty,Interior Electronics,Replace spark plugs and clean fuel injectors,Résolu
327,P0113,Trunk not opening,Radar sensor blocked,Electrical System,Replace heated seat element,En traitement
328,P0990,Heated seats not working,Connecting rod bearing wear,Trunk System,Replace wiper fuse,En traitement
329,P0122,Hybrid system malfunction,Alignment issues,Exhaust System,Replace thermostat,Non résolu
330,P0301,Navigation system not working,Radar sensor blocked,Lighting System,Replace wheel bearing,Non résolu
331,P0910,Unusual tire wear,Loose battery terminal connection,Hybrid Battery,Clean parking sensor,Non résolu
332,P0970,Parking assist system error,Lane keeping assist camera misaligned,AC System,Replace connecting rod bearings,Non résolu
333,P0705,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Refrigerant leak in AC system,Navigation System,Replace oxygen sensor and clear fault codes,En traitement
334,P0920,Vehicle pulls to one side,Refrigerant leak in AC system,Camera Systems,Replace thermostat,Résolu
335,P0172,Excessive exhaust smoke,Improper tire inflation,Hybrid Battery,Replace clutch friction element and recalibrate transmission,Non résolu
336,P0171,Sunroof stuck open,Motor for power window faulty,Body Control Module,Replace heated seat element,Résolu
337,P0870,Door ajar warning light on constantly,Battery internal resistance too high causing voltage imbalance,Cooling System,Replace power window motor,Résolu
338,P0201,Brake system warning light,Battery internal resistance too high causing voltage imbalance,Cooling System,Recalibrate lane keeping assist camera,Non résolu
339,P0620,Rearview camera blurry,"Thermostat stuck open, engine running cold",ECU,Replace horn relay,Non résolu
340,P0606,Unusual tire wear,Ignition coil failure in cylinder 1,Driver Assistance Systems,Replace faulty battery modules and rebalance the hybrid battery pack,En traitement
341,P1400,Brake system warning light,Sunroof motor failure,Tires,Replace wiper fuse,En traitement
342,P0A80,Battery overheats after 20 min of driving,Faulty inverter cooling pump causing insufficient coolant circulation,Electrical System,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
343,P1803-00,Parking assist system error,Sunroof motor failure,MG1,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
344,P1200,"Vehicle not ready, hybrid system warning",Loose battery terminal connection,ECU,Replace GPS antenna,Résolu
345,P0760,Wipers not working,Wheel bearing worn out,Brakes,Replace ignition coil in cylinder 1,Non résolu
346,P0325,Headlights flickering,Actuator for trunk release faulty,Electrical System,Adjust tire pressure,Résolu
347,P0500,Engine knocking sound,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Body Control Module,Replace power window motor,Non résolu
348,P0133,Lane departure warning system fault,Connecting rod bearing wear,Interior Electronics,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
349,P1100,Rearview camera blurry,Alignment issues,Tires,Replace oxygen sensor and clear fault codes,En traitement
350,P0970,Horn not functioning,Radar sensor blocked,Hybrid Battery,Clean radar sensor,Non résolu
351,P0820,Headlights flickering,Turbocharger seal failure,Horn System,Replace heated seat element,Résolu
352,P0980,Steering wheel vibration at high speed,Rearview camera lens dirty,AC System,Replace heated seat element,Non résolu
353,P0172,Rearview camera blurry,Parking sensor dirty,Electrical System,Replace trunk release actuator,Résolu
354,P0990,Horn not functioning,Loose battery terminal connection,Safety Systems,Replace horn relay,Non résolu
355,P0420,Power windows not responding,Battery internal resistance too high causing voltage imbalance,Body Control Module,Replace catalytic converter,En traitement
356,P1000,Rearview camera blurry,Blown fuse in wiper circuit,Driver Assistance Systems,Replace spark plugs and clean fuel injectors,Non résolu
357,P0440,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Connecting rod bearing wear,Interior Electronics,Update ECU software and reset hybrid system,En traitement
358,P1500,Fuel gauge inaccurate,"Thermostat stuck open, engine running cold",Hybrid Battery,Clean blind spot sensor,Non résolu
359,P0840,Lane departure warning system fault,Blind spot sensor obstructed,Interior Electronics,Replace catalytic converter,Résolu
360,P07A3,Loud clicking noise during hybrid mode switch,Faulty inverter cooling pump causing insufficient coolant circulation,Inverter,Clean rearview camera lens,Non résolu
361,P0860,AC not blowing cold air,Battery internal resistance too high causing voltage imbalance,Transmission,Replace heated seat element,Non résolu
362,P0920,Trunk not opening,Loose battery terminal connection,AC System,Replace inverter cooling pump and refill coolant,Non résolu
363,P0860,Sunroof stuck open,Actuator for trunk release faulty,Inverter,Replace clutch friction element and recalibrate transmission,Non résolu
364,P0770,"Engine misfire, rough idle","Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Horn System,Replace oxygen sensor and clear fault codes,En traitement
365,P0650,Battery overheats after 20 min of driving,Blind spot sensor obstructed,Navigation System,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
366,P1803-00,Vehicle pulls to one side,Ignition coil failure in cylinder 1,Trunk System,Replace sunroof motor,En traitement
367,P0446,Vehicle pulls to one side,Alignment issues,Electrical System,Replace horn relay,Résolu
368,P0830,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Blown fuse in wiper circuit,Tires,Clean battery terminals,Non résolu
369,P1700,"Engine misfire, rough idle",Motor for power window faulty,MG2,Clean radar sensor,Non résolu
370,P0705,Horn not functioning,Faulty inverter cooling pump causing insufficient coolant circulation,Body Control Module,Replace clutch friction element and recalibrate transmission,Non résolu
371,P0940,Engine knocking sound,Heater element failure in seat,Horn System,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
372,P1100,Unusual tire wear,Catalytic converter efficiency below threshold,MG1,Replace heated seat element,En traitement
373,P0446,Headlights flickering,Blind spot sensor obstructed,Steering,Clean battery terminals,En traitement
374,P0730,Navigation system not working,Actuator for trunk release faulty,Driver Assistance Systems,Replace power window motor,En traitement
375,P0960,Wipers not working,Radar sensor blocked,Cooling System,Replace wheel bearing,En traitement
376,P0135,Engine knocking sound,Parking sensor dirty,ECU,Replace oxygen sensor and clear fault codes,Résolu
377,P0860,Wipers not working,Connecting rod bearing wear,Electrical System,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
378,P0740,Parking assist system error,Lane keeping assist camera misaligned,Trunk System,Replace connecting rod bearings,Non résolu
379,P1803-00,Power windows not responding,Rearview camera lens dirty,Exhaust System,Update ECU software and reset hybrid system,Résolu
380,P0440,Lane departure warning system fault,Loose battery terminal connection,Camera Systems,Update ECU software and reset hybrid system,Résolu
381,P0500,Lane departure warning system fault,Loose battery terminal connection,Navigation System,"Locate and repair refrigerant leak, then recharge AC system",En traitement
382,P0700,Unusual tire wear,Faulty horn relay,MG1,"Locate and repair refrigerant leak, then recharge AC system",En traitement
383,P0940,Excessive exhaust smoke,Lane keeping assist camera misaligned,Suspension,Replace wheel bearing,En traitement
384,P0720,Vehicle pulls to one side,Connecting rod bearing wear,AC System,Replace power window motor,Non résolu
385,P0201,Parking assist system error,Faulty inverter cooling pump causing insufficient coolant circulation,Interior Electronics,Recalibrate lane keeping assist camera,En traitement
386,P0920,Adaptive cruise control unavailable,Rearview camera lens dirty,Steering,Replace connecting rod bearings,Non résolu
387,P0750,Engine knocking sound,Loose battery terminal connection,MG1,Clean parking sensor,Résolu
388,P0325,Trunk not opening,GPS antenna faulty,Tires,Replace wiper fuse,Résolu
389,P0455,Parking assist system error,GPS antenna faulty,Tires,Replace turbocharger,Non résolu
390,P1700,Heated seats not working,Battery internal resistance too high causing voltage imbalance,Hybrid Battery,Replace thermostat,Non résolu
391,P0860,Lane departure warning system fault,Lane keeping assist camera misaligned,Navigation System,Replace door latch sensor,Résolu
392,P0705,Hybrid system malfunction,"Thermostat stuck open, engine running cold",Tires,Replace sunroof motor,Non résolu
393,P0750,Reduced power and acceleration,Communication loss between ECU and hybrid battery module,Suspension,Replace spark plugs and clean fuel injectors,En traitement
394,P0620,Rearview camera blurry,Actuator for trunk release faulty,Interior Electronics,Replace heated seat element,Non résolu
395,P0401,Reduced power and acceleration,Actuator for trunk release faulty,Brakes,Replace ignition coil in cylinder 1,Résolu
396,P0122,Wipers not working,Loose battery terminal connection,Steering,Replace oxygen sensor and clear fault codes,En traitement
397,P07A3,Loud clicking noise during hybrid mode switch,Communication loss between ECU and hybrid battery module,MG2,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
398,P0101,Rearview camera blurry,Communication loss between ECU and hybrid battery module,Transmission,Replace heated seat element,Résolu
399,P1300,Sunroof stuck open,Turbocharger seal failure,MG2,Replace oxygen sensor and clear fault codes,Non résolu
400,P0201,AC not blowing cold air,Motor for power window faulty,Camera Systems,Replace GPS antenna,Résolu
401,P0720,Door ajar warning light on constantly,Faulty inverter cooling pump causing insufficient coolant circulation,MG2,Replace clutch friction element and recalibrate transmission,Résolu
402,P0780,Headlights flickering,Heater element failure in seat,Horn System,Replace clutch friction element and recalibrate transmission,Non résolu
403,P0960,Horn not functioning,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Interior Electronics,Replace door latch sensor,Non résolu
404,P0860,Lane departure warning system fault,Lane keeping assist camera misaligned,Suspension,Replace faulty battery modules and rebalance the hybrid battery pack,En traitement
405,P0340,Battery overheats after 20 min of driving,Blind spot sensor obstructed,Engine,Update ECU software and reset hybrid system,Résolu
406,P1500,Heated seats not working,Door latch sensor faulty,Wiper System,Clean parking sensor,Non résolu
407,P0A80,Fuel gauge inaccurate,Alignment issues,ECU,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
408,P0715,Rearview camera blurry,GPS antenna faulty,Electrical System,Clean parking sensor,Non résolu
409,P0560,Power windows not responding,Turbocharger seal failure,Tires,Replace inverter cooling pump and refill coolant,En traitement
410,P0870,Lane departure warning system fault,Blind spot sensor obstructed,Camera Systems,Replace inverter cooling pump and refill coolant,Non résolu
411,P0970,Trunk not opening,Motor for power window faulty,Body Control Module,Perform wheel alignment,Résolu
412,P0122,"Vehicle not ready, hybrid system warning",Faulty horn relay,Driver Assistance Systems,Replace power window motor,Non résolu
413,P0760,Door ajar warning light on constantly,Parking sensor dirty,Trunk System,Clean blind spot sensor,Résolu
414,P0171,Door ajar warning light on constantly,Parking sensor dirty,Wiper System,Perform wheel alignment,Résolu
415,P0700,Parking assist system error,Communication loss between ECU and hybrid battery module,AC System,Replace wiper fuse,En traitement
416,P0790,Door ajar warning light on constantly,Clogged fuel injector and worn spark plugs,Electrical System,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
417,P07AD,Lane departure warning system fault,Refrigerant leak in AC system,Cooling System,Replace oxygen sensor and clear fault codes,Non résolu
418,P0446,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Refrigerant leak in AC system,Sunroof System,Replace sunroof motor,Non résolu
419,P0830,Hybrid system malfunction,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Safety Systems,Replace power window motor,Résolu
420,P0760,Horn not functioning,Actuator for trunk release faulty,Inverter,Replace trunk release actuator,Non résolu
421,P0850,AC not blowing cold air,Communication loss between ECU and hybrid battery module,Horn System,Replace spark plugs and clean fuel injectors,En traitement
422,P1600,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Turbocharger seal failure,Engine,Replace catalytic converter,Non résolu
423,P1700,Power windows not responding,Actuator for trunk release faulty,Navigation System,Clean rearview camera lens,Non résolu
424,P0650,"Check engine light on, no noticeable symptoms",Faulty inverter cooling pump causing insufficient coolant circulation,Trunk System,Replace connecting rod bearings,En traitement
425,P0720,Rearview camera blurry,Lane keeping assist camera misaligned,Navigation System,Replace power window motor,En traitement
426,P0325,Lane departure warning system fault,Clogged fuel injector and worn spark plugs,Hybrid Battery,Replace door latch sensor,En traitement
427,P1000,Blind spot monitor warning,GPS antenna faulty,Camera Systems,Replace thermostat,Résolu
428,P0930,Heated seats not working,Transmission clutch friction element stuck causing shifting issues,Cooling System,Replace connecting rod bearings,Résolu
429,P0113,Brake system warning light,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Wiper System,Clean battery terminals,Non résolu
430,P0740,Lane departure warning system fault,Rearview camera lens dirty,Tires,Replace door latch sensor,En traitement
431,P0335,AC not blowing cold air,Ignition coil failure in cylinder 1,Hybrid Battery,Replace horn relay,Résolu
432,P0760,Loud clicking noise during hybrid mode switch,"Thermostat stuck open, engine running cold",Brakes,Recalibrate lane keeping assist camera,Non résolu
433,P1200,Trunk not opening,Radar sensor blocked,Electrical System,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
434,P0335,Sunroof stuck open,Refrigerant leak in AC system,Horn System,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
435,P0960,Headlights flickering,Motor for power window faulty,MG2,Replace connecting rod bearings,En traitement
436,P0760,Loud clicking noise during hybrid mode switch,Turbocharger seal failure,Steering,Replace thermostat,En traitement
437,P0440,"Check engine light on, no noticeable symptoms",Faulty inverter cooling pump causing insufficient coolant circulation,Driver Assistance Systems,Replace heated seat element,Non résolu
438,P0880,Lane departure warning system fault,Alignment issues,Transmission,Clean radar sensor,En traitement
439,P0790,Vehicle pulls to one side,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",ECU,Replace sunroof motor,Non résolu
440,P0810,"Check engine light on, no noticeable symptoms",Loose battery terminal connection,Driver Assistance Systems,Clean parking sensor,Résolu
441,P0201,AC not blowing cold air,Ignition coil failure in cylinder 1,Sunroof System,Recalibrate lane keeping assist camera,En traitement
442,P0880,AC not blowing cold air,"Thermostat stuck open, engine running cold",Hybrid Battery,Adjust tire pressure,En traitement
443,P0606,Brake system warning light,Battery internal resistance too high causing voltage imbalance,Steering,Replace connecting rod bearings,Résolu
444,P0A93,"Engine misfire, rough idle","Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Interior Electronics,Replace catalytic converter,Non résolu
445,P0171,Parking assist system error,Faulty inverter cooling pump causing insufficient coolant circulation,Hybrid Battery,Clean rearview camera lens,Résolu
446,P0440,Lane departure warning system fault,Transmission clutch friction element stuck causing shifting issues,Sunroof System,Clean radar sensor,En traitement
447,P0750,Brake system warning light,Refrigerant leak in AC system,ECU,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
448,P0420,Rearview camera blurry,Turbocharger seal failure,Tires,Replace wiper fuse,Non résolu
449,P0201,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Motor for power window faulty,Body Control Module,Replace spark plugs and clean fuel injectors,En traitement
450,P03AF,Excessive exhaust smoke,Blind spot sensor obstructed,Inverter,Adjust tire pressure,Non résolu
451,P1400,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Turbocharger seal failure,AC System,Replace spark plugs and clean fuel injectors,En traitement
452,P07A3,Fuel gauge inaccurate,Refrigerant leak in AC system,Hybrid Battery,Perform wheel alignment,Résolu
453,P0505,Lane departure warning system fault,Catalytic converter efficiency below threshold,Sunroof System,Replace clutch friction element and recalibrate transmission,Résolu
454,P0560,Wipers not working,Door latch sensor faulty,Interior Electronics,Update ECU software and reset hybrid system,Résolu
455,P0171,"Check engine light on, no noticeable symptoms",Improper tire inflation,Wiper System,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
456,P0325,Unusual tire wear,Lane keeping assist camera misaligned,Navigation System,Replace oxygen sensor and clear fault codes,Résolu
457,P0340,Hybrid system malfunction,Actuator for trunk release faulty,MG2,Replace horn relay,Résolu
458,P0715,Headlights flickering,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Steering,Replace wheel bearing,Non résolu
459,P0930,Battery overheats after 20 min of driving,"Thermostat stuck open, engine running cold",Transmission,Replace turbocharger,En traitement
460,P1600,Trunk not opening,Heater element failure in seat,ECU,Replace catalytic converter,Résolu
461,P0401,Lane departure warning system fault,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",MG2,Replace clutch friction element and recalibrate transmission,En traitement
462,P0446,Door ajar warning light on constantly,Refrigerant leak in AC system,Exhaust System,Replace catalytic converter,Résolu
463,P07AD,Unusual tire wear,Turbocharger seal failure,Sunroof System,Recalibrate lane keeping assist camera,Non résolu
464,P0505,Hybrid system malfunction,Communication loss between ECU and hybrid battery module,Exhaust System,Replace trunk release actuator,Résolu
465,P0401,AC not blowing cold air,Connecting rod bearing wear,ECU,Replace oxygen sensor and clear fault codes,En traitement
466,P0740,Door ajar warning light on constantly,Motor for power window faulty,Safety Systems,Replace horn relay,Résolu
467,P0340,Excessive exhaust smoke,Loose battery terminal connection,Driver Assistance Systems,Replace connecting rod bearings,Non résolu
468,P0830,Loud clicking noise during hybrid mode switch,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Horn System,Replace connecting rod bearings,Résolu
469,P0910,Vehicle pulls to one side,Wheel bearing worn out,Tires,Clean blind spot sensor,Résolu
470,P0650,AC not blowing cold air,Motor for power window faulty,MG2,Replace connecting rod bearings,Non résolu
471,P0850,Loud clicking noise during hybrid mode switch,Blown fuse in wiper circuit,Trunk System,Replace wiper fuse,Non résolu
472,P0446,Brake system warning light,Door latch sensor faulty,Trunk System,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
473,P1300,Hybrid system malfunction,Heater element failure in seat,Cooling System,Clean radar sensor,Non résolu
474,P0201,Horn not functioning,Sunroof motor failure,Interior Electronics,Clean battery terminals,Non résolu
475,P0900,Headlights flickering,Radar sensor blocked,Brakes,Recalibrate lane keeping assist camera,En traitement
476,P0920,Rearview camera blurry,Wheel bearing worn out,Wiper System,Replace power window motor,En traitement
477,P1000,"Vehicle not ready, hybrid system warning",Communication loss between ECU and hybrid battery module,Suspension,Replace ignition coil in cylinder 1,Résolu
478,P0113,Hybrid system malfunction,Alignment issues,Suspension,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
479,P0171,Wipers not working,Alignment issues,ECU,Replace inverter cooling pump and refill coolant,Résolu
480,P1803-00,Sunroof stuck open,Door latch sensor faulty,AC System,Clean parking sensor,Résolu
481,P0420,Heated seats not working,Rearview camera lens dirty,Wiper System,Adjust tire pressure,En traitement
482,P07AD,Headlights flickering,"Thermostat stuck open, engine running cold",Camera Systems,Replace heated seat element,Non résolu
483,P0870,"Engine misfire, rough idle",Motor for power window faulty,AC System,Replace spark plugs and clean fuel injectors,Non résolu
484,P0840,"Vehicle not ready, hybrid system warning",Ignition coil failure in cylinder 1,Tires,Replace heated seat element,Résolu
485,P0560,"Engine misfire, rough idle",Alignment issues,Trunk System,Clean rearview camera lens,Résolu
486,P0301,Excessive exhaust smoke,Radar sensor blocked,Interior Electronics,Replace wiper fuse,Non résolu
487,P0420,Brake system warning light,Door latch sensor faulty,Exhaust System,Clean battery terminals,Non résolu
488,P0770,Fuel gauge inaccurate,Communication loss between ECU and hybrid battery module,Electrical System,Replace ignition coil in cylinder 1,Non résolu
489,P0101,Unusual tire wear,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Safety Systems,Replace oxygen sensor and clear fault codes,Résolu
490,P0980,Wipers not working,Connecting rod bearing wear,AC System,Replace ignition coil in cylinder 1,Non résolu
